,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,Tennessee
26,Utah
27,Vermont
28,Virginia
29,Washington
30,West Virginia
31,Wisconsin
